DATETIME,OPEN,HIGH,LOW,FINAL,VOLUME
2020-06-11,20380.0,20380.0,20380.0,20380.0,0.0
2020-06-12,20950.0,20950.0,20950.0,20950.0,0.0
2020-06-15,20720.0,20720.0,20720.0,20720.0,0.0
2020-06-16,21150.0,21150.0,21150.0,21150.0,0.0
2020-06-17,21220.0,21220.0,21220.0,21220.0,0.0
2020-06-18,21120.0,21120.0,21120.0,21120.0,0.0
2020-06-19,21070.0,21070.0,21070.0,21070.0,0.0
2020-06-22,21310.0,21310.0,21310.0,21310.0,0.0
2020-06-23,21270.0,21270.0,21270.0,21270.0,0.0
2020-06-24,21005.0,21005.0,21005.0,21005.0,0.0
2020-06-25,21210.0,21210.0,21210.0,21210.0,0.0
2020-06-26,21030.0,21030.0,21030.0,21030.0,0.0
2020-06-29,21095.0,21095.0,21095.0,21095.0,0.0
2020-06-30,21060.0,21060.0,21060.0,21060.0,0.0
2020-07-01,20975.0,20975.0,20975.0,20975.0,0.0
2020-07-02,21090.0,21090.0,21090.0,21090.0,0.0
2020-07-06,21405.0,21405.0,21405.0,21405.0,0.0
2020-07-07,21205.0,21205.0,21205.0,21205.0,0.0
2020-07-08,21240.0,21240.0,21240.0,21240.0,0.0
2020-07-09,21125.0,21125.0,21125.0,21125.0,0.0
2020-07-10,21330.0,21330.0,21330.0,21330.0,0.0
2020-07-13,21330.0,21330.0,21330.0,21330.0,0.0
2020-07-14,21465.0,21465.0,21465.0,21465.0,0.0
2020-07-15,21630.0,21630.0,21630.0,21630.0,0.0
2020-07-16,21490.0,21490.0,21490.0,21490.0,0.0
2020-07-17,21435.0,21435.0,21435.0,21435.0,0.0
2020-07-20,21550.0,21550.0,21550.0,21550.0,0.0
2020-07-21,21455.0,21455.0,21455.0,21455.0,0.0
2020-07-22,21505.0,21505.0,21505.0,21505.0,0.0
2020-07-23,21300.0,21300.0,21300.0,21300.0,0.0
2020-07-24,21115.0,21115.0,21115.0,21115.0,0.0
2020-07-27,21455.0,21455.0,21455.0,21455.0,0.0
2020-07-28,21295.0,21295.0,21295.0,21295.0,0.0
2020-07-29,21315.0,21315.0,21315.0,21315.0,0.0
2020-07-30,21020.0,21020.0,21020.0,21020.0,0.0
2020-07-31,20720.0,20720.0,20720.0,20720.0,0.0
2020-08-03,21185.0,21185.0,21185.0,21185.0,0.0
2020-08-04,21270.0,21270.0,21270.0,21270.0,0.0
2020-08-05,21245.0,21245.0,21245.0,21245.0,0.0
2020-08-06,21220.0,21220.0,21220.0,21220.0,0.0
2020-08-07,21230.0,21230.0,21230.0,21230.0,0.0
2020-08-10,21295.0,21295.0,21295.0,21295.0,0.0
2020-08-11,21465.0,21465.0,21465.0,21465.0,0.0
2020-08-12,21955.0,21955.0,21955.0,21955.0,0.0
2020-08-13,21935.0,21935.0,21935.0,21935.0,0.0
2020-08-14,21910.0,21910.0,21910.0,21910.0,0.0
2020-08-17,21890.0,21890.0,21890.0,21890.0,0.0
2020-08-18,21805.0,21805.0,21805.0,21805.0,0.0
2020-08-19,21865.0,21865.0,21865.0,21865.0,0.0
2020-08-20,21740.0,21740.0,21740.0,21740.0,0.0
2020-08-21,21635.0,21635.0,21635.0,21635.0,0.0
2020-08-24,21930.0,21930.0,21930.0,21930.0,0.0
2020-08-25,22060.0,22060.0,22060.0,22060.0,0.0
2020-08-26,22055.0,22055.0,22055.0,22055.0,0.0
2020-08-27,21995.0,21995.0,21995.0,21995.0,0.0
2020-08-28,21705.0,21705.0,21705.0,21705.0,0.0
2020-08-31,21840.0,21840.0,21840.0,21840.0,0.0
2020-09-01,21955.0,21955.0,21955.0,21955.0,0.0
2020-09-02,22255.0,22255.0,22255.0,22255.0,0.0
2020-09-03,21875.0,21875.0,21875.0,21875.0,0.0
2020-09-04,21955.0,21955.0,21955.0,21955.0,0.0
2020-09-08,21820.0,21820.0,21820.0,21820.0,0.0
2020-09-09,21960.0,21960.0,21960.0,21960.0,0.0
2020-09-10,21870.0,21870.0,21870.0,21870.0,0.0
2020-09-11,22135.0,22135.0,22135.0,22135.0,0.0
2020-09-14,22235.0,22235.0,22235.0,22235.0,0.0
2020-09-15,22265.0,22265.0,22265.0,22265.0,0.0
2020-09-16,22235.0,22235.0,22235.0,22235.0,0.0
2020-09-17,22135.0,22135.0,22135.0,22135.0,0.0
2020-09-18,22040.0,22040.0,22040.0,22040.0,0.0
2020-09-21,21770.0,21770.0,21770.0,21770.0,0.0
2020-09-22,21840.0,21840.0,21840.0,21840.0,0.0
2020-09-23,22020.0,22020.0,22020.0,22020.0,0.0
2020-09-24,21975.0,21975.0,21975.0,21975.0,0.0
2020-09-25,22095.0,22095.0,22095.0,22095.0,0.0
2020-09-28,22340.0,22340.0,22340.0,22340.0,0.0
2020-09-29,22235.0,22235.0,22235.0,22235.0,0.0
2020-09-30,22075.0,22075.0,22075.0,22075.0,0.0
2020-10-01,22030.0,22030.0,22030.0,22030.0,0.0
2020-10-02,21985.0,21985.0,21985.0,21985.0,0.0
2020-10-05,22215.0,22215.0,22215.0,22215.0,0.0
2020-10-06,22090.0,22090.0,22090.0,22090.0,0.0
2020-10-07,22310.0,22310.0,22310.0,22310.0,0.0
2020-10-08,22425.0,22425.0,22425.0,22425.0,0.0
2020-10-09,22380.0,22380.0,22380.0,22380.0,0.0
2020-10-12,22415.0,22415.0,22415.0,22415.0,0.0
2020-10-13,22330.0,22330.0,22330.0,22330.0,0.0
2020-10-14,22360.0,22360.0,22360.0,22360.0,0.0
2020-10-15,22310.0,22310.0,22310.0,22310.0,0.0
2020-10-16,22310.0,22310.0,22310.0,22310.0,0.0
2020-10-19,22315.0,22315.0,22315.0,22315.0,0.0
2020-10-20,22410.0,22410.0,22410.0,22410.0,0.0
2020-10-21,22370.0,22370.0,22370.0,22370.0,0.0
2020-10-22,22395.0,22395.0,22395.0,22395.0,0.0
2020-10-23,22350.0,22350.0,22350.0,22350.0,0.0
2020-10-26,22310.0,22310.0,22310.0,22310.0,0.0
2020-10-27,22300.0,22300.0,22300.0,22300.0,0.0
2020-10-28,22240.0,22240.0,22240.0,22240.0,0.0
2020-10-29,22155.0,22155.0,22155.0,22155.0,0.0
2020-10-30,21820.0,21820.0,21820.0,21820.0,0.0
2020-11-02,22130.0,22130.0,22130.0,22130.0,0.0
2020-11-03,22130.0,22130.0,22130.0,22130.0,0.0
2020-11-04,22510.0,22510.0,22510.0,22510.0,0.0
2020-11-05,22900.0,22900.0,22900.0,22900.0,0.0
2020-11-06,23110.0,23110.0,23110.0,23110.0,0.0
2020-11-09,23605.0,23605.0,23605.0,23605.0,0.0
2020-11-10,23670.0,23670.0,23670.0,23670.0,0.0
